Pays,Région,Altitude (m),Type / Dénomination,Acidité,Notes de Dégustation
Inde,Karnataka,1000,Malabar (Arabica),Faible,"Épicé, Boisé, Chocolaté"
Inde,Kerala,900,Malabar (Arabica),Faible,"Terreux, Noix, Épices"
Guatemala,Amérique centrale,1600,Bourbon,Moyenne-Élevée,"Fruité, Chocolat, Agrumes"
Costa Rica,Amérique centrale,1300,Typica,Moyenne,"Caramel, Agrumes"
Panama,Amérique centrale,1800,Geisha,Très Élevée,"Floral, Fruité, Notes d’Agrumes"
Colombie,Amérique du Sud,1500,Caturra,Moyenne,"Chocolat, Noix"
Brésil,Amérique du Sud,900,Bourbon,Faible,"Caramel, Chocolat, Noix"
Pérou,Amérique du Sud,1800,Typica,Élevée,"Fruité, Floral"
Éthiopie,Sidamo,2000,Heirloom,Élevée,"Fruité, Floral, Notes de Baies"
Éthiopie,Yirgacheffe,1900,Heirloom,Très Élevée,"Floral, Thé, Notes d'Agrumes"
